blood_elves_bloodthirsty_games_decision;Organize Blood Games;Organiser des combats de gladiateurs;Blutspiele abhalten;;Organizar juegos de sangre;;;;;;;;x
blood_elves_bloodthirsty_games_decision_desc;Allow prisoners and servants in your realm to fight for the glory of the gods in a lavish and gruesome display of gladiatorial combat.;Permettez aux prisonniers et aux serviteurs de votre pays de se battre pour la gloire des dieux dans un d√©ploiement somptueux et horrible de combats de gladiateurs.;Erlaubt den Gefangenen und Dienern in Eurem Reich in einer √ºberschw√§nglichen und grausamen Darbietung von Gladiatorenk√§mpfen um den Ruhm der G√∂tter zu wetteifern.;;Permite que los prisioneros y sirvientes de tu reino luchen por la gloria de tus dioses en un combate de gladiadores llamativo y horripilante ;;;;;;;;x
blood_elves_bloodthirsty_mass_sacrifice_decision;Perform a Mass Sacrifice;Effectuer un sacrifice de masse;Massenopferung durchf√ºhren;;Realizar un sacrificio en masa;;;;;;;;x
blood_elves_bloodthirsty_mass_sacrifice_decision_desc;To ensure our victory in battle, the gods must be appeased. Only then our troops will find the strength to defeat our enemies once and for all.;Pour assurer notre victoire au combat, les dieux doivent √™tre apais√©s. C'est seulement √† ce moment-l√† que nos troupes trouveront la force de vaincre nos ennemis une fois pour toutes.;Um unseren Sieg im Kampf sicherzustellen, m√ºssen die G√∂tter bes√§nftigt werden. Nur dann werden unsere Truppen die Kraft finden, die sie brauchen, um unsere Feinde ein f√ºr alle Mal zu besiegen.;;Debemos apaciguar a los dioses para asegurar nuestra victoria en la batalla. Solo entonces nuestras huestes encontrar√°n fuerzas para derrotar a nuestros enemigos de una vez por todas.;;;;;;;;x
blood_elves_sacrifice_decision;Sacrifice [Root.GetTitledFirstName];Sacrifier [Root.Get_le_TitledFirstName];[Root.GetTitledFirstName] opfern;;Sacrificar a [Root.GetTitledFirstName];;;;;;;;x
blood_elves_sacrifice_decision_desc;The gods demand blood! We must satiate their thirst or risk facing their wrath!;Les dieux veulent du sang†! Nous devons les satisfaire ou affronter leur courroux†!;Die G√∂tter verlangen nach Blut! Wir m√ºssen ihren Durst stillen oder riskieren ihren Zorn heraufzubeschw√∂ren!;;°Los dioses exigen sangre! °Debemos saciar su sed o arriesgarnos a su ira!;;;;;;;;x
dark_elves_assassins_donate;Donate Money to the Assassins;Faire un don aux Assassins;Geld an Assassinen spenden;;Donar dinero a los Asesinos;;;;;;;;;x
dark_elves_assassins_donate_desc;You may donate money to the Order in exchange for ßY[Root.Society.GetCurrency]ß!.;Vous pouvez faire un don –∞ l'Ordre en –πchange de ßY[Root.Society.GetCurrency]ß!.;Ihr k—Ünnt dem Orden im Tausch f—år ßY[Root.Society.GetCurrency]ß! Geld spenden.;;Puedes donar dinero a la orden a cambio de ßY[Root.Society.GetCurrency]ß!.;;;;;;;;;x
dark_elves_assassins_mark_for_death;Mark for Death;Condamner –∞ mort;Als Todesopfer markieren;;Sentenciar de muerte;;;;;;;;;x
dark_elves_assassins_mark_for_death_desc;As the Grand Master of the Assassins, ßY[From.GetTitledFirstName]ß! has the power to mark ßY[Root.GetTitledFirstName]ß! for death. One of the Assassins will be given a mission to kill ßY[Root.GetTitledFirstName]ß!.;En tant que Grand Ma–ætre des Assassins, [From.Get_le_TitledFirstNameJ] a le pouvoir de condamner –∞ mort [Root.Get_le_TitledFirstNameJ]. Un des Assassins aura pour mission de ßY[Root.GetLeLa]ß! tuer.;Als Gro–Ømeister der Assassinen hat ßY[From.GetTitledFirstName]ß! die Macht, ßY[Root.GetTitledFirstName]ß! als Todesopfer zu markieren. Einer der Assassinen wird die Mission erhalten, ßY[Root.GetTitledFirstName]ß! zu t—Üten.;;Como gran maestre de los Asesinos, ßY[From.GetTitledFirstName]ß! puede sentenciar de muerte a ßY[Root.GetTitledFirstName]ß!. A uno de los Asesinos se le asignar–± la misi—Én de asesinar a ßY[Root.GetTitledFirstName]ß!.;;;;;;;;;x
dark_elves_assassins_mark_for_death_allow_tooltip;ßY[From.GetTitledFirstName]ß! does not already have a target marked for death.;[From.Get_Le_TitledFirstNameJ] n'a pas d–πj–∞ une cible condamn–πe –∞ mort.;ßY[From.GetTitledFirstName]ß! hat noch kein Ziel als Todesopfer markiert.;;ßY[From.GetTitledFirstName]ß! todav–Ωa no ha sentenciado a nadie de muerte.;;;;;;;;;x
dark_elves_assassins_mark_for_death_effect_tooltip;ßY[Root.GetTitledFirstName]ß! is marked for death.;[Root.Get_Le_TitledFirstNameJ] est condamn–π[Root.Get_E] –∞ mort.;ßY[Root.GetTitledFirstName]ß! wurde als Todesopfer markiert.;;ßY[Root.GetTitledFirstName]ß! ha recibido una sentencia de muerte.;;;;;;;;;x
dark_elves_assassins_clear_marked_for_death_target;Clear Mark of Death;Retirer la condamnation –∞ mort;Todesopfer-Markierung aufheben;;Anular sentencia de muerte;;;;;;;;;x
dark_elves_assassins_clear_marked_for_death_target_desc;Remove the mark of death on ßY[Root.GetTitledFirstName]ß!. This will not cancel any ongoing missions.;Retire la condamnation –∞ mort [Root.Get_du_TitledFirstNameJ]. Ceci n'annulera pas la mission en cours.;Entfernt die Todesopfer-Markierung auf ßY[Root.GetTitledFirstName]ß!. Aktive Missionen werden dadurch nicht abgebrochen.;;Retira la sentencia de muerte a ßY[Root.GetTitledFirstName]ß!. No cancelar–± ninguna misi—Én en curso.;;;;;;;;;x
dark_elves_assassins_clear_marked_for_death_target_allow_tooltip;ßY[Root.GetTitledFirstName]ß! is marked for death.;[Root.Get_Le_TitledFirstNameJ] est condamn–π[Root.Get_E] –∞ mort.;ßY[Root.GetTitledFirstName]ß! wurde als Todesopfer markiert.;;ßY[Root.GetTitledFirstName]ß! ha recibido una sentencia de muerte.;;;;;;;;;x
dark_elves_assassins_clear_marked_for_death_target_effect_tooltip;The mark of death is cleared from ßY[Root.GetTitledFirstName]ß!.;La condamnation –∞ mort est retir–πe [Root.Get_du_TitledFirstNameJ].;Die Todesopfer-Markierung auf ßY[Root.GetTitledFirstName]ß! wird entfernt;;Se ha anulado la sentencia de muerte de ßY[Root.GetTitledFirstName]ß!.;;;;;;;;;x
dark_elves_assassins_donate;Donate Money to [Root.Society.GetName];Faire un don aux Assassins;Geld an Assassinen spenden;;Donar dinero a los Asesinos;;;;;;;;;x
dark_elves_assassins_donate_desc;You may donate money to the Order in exchange for ßY[Root.Society.GetCurrency]ß!.;Vous pouvez faire un don –∞ l'Ordre en –πchange de ßY[Root.Society.GetCurrency]ß!.;Ihr k—Ünnt dem Orden im Tausch f—år ßY[Root.Society.GetCurrency]ß! Geld spenden.;;Puedes donar dinero a la orden a cambio de ßY[Root.Society.GetCurrency]ß!.;;;;;;;;;x
plot_dark_elves_assassins_collect_debt_title;Collect Debt from [Root.GetFirstName];R–πcup–πrer la dette de [Root.GetFirstName];Schulden von [Root.GetFirstName] eintreiben;;Cobrarle la deuda a [Root.GetFirstName];;;;;;;;;x
plot_dark_elves_assassins_collect_debt_desc;By the order of the Grand Master of [From.Society.GetName], ßY[From.GetTitledFirstName]ß! is responsible for collecting the debt of ßY[Root.GetTitledFirstName]ß!. ßY[From.GetTitledFirstName]ß! must infiltrate the target's residence and threaten [Root.GetHerHim] to give the money back.;Par ordre du Grand Ma–ætre des Assassins, [From.Get_le_TitledFirstNameJ] a pour mission de r–πcup–πrer la dette [Root.Get_du_TitledFirstNameJ]. [From.Get_Le_TitledFirstNameJ] doit s'infiltrer dans la r–πsidence de sa cible et la menacer afin de r–πcup–πrer l'argent.;Der Gro–Ømeister der Assassinen hat beschlossen, dass es ßY[From.GetTitledFirstName]ß! obliegt, die Schulden von ßY[Root.GetTitledFirstName]ß! einzutreiben. ßY[From.GetTitledFirstName]ß! muss in die Residenz des Ziels eindringen und [Root.GetHerHim] dazu auffordern, das Geld zur—åckzugeben.;;Por orden del gran maestre de los Asesinos, ßY[From.GetTitledFirstName]ß! es responsable de recaudar la deuda de ßY[Root.GetTitledFirstName]ß!. ßY[From.GetTitledFirstName]ß! debe infiltrarse en la residencia del objetivo y hacer que devuelva el dinero.;;;;;;;;;x
plot_dark_elves_assassins_collect_debt_short;Collect Debt;R–πcup–πrer la dette;Schulden eintreiben;;Cobrar deuda;;;;;;;;;x
plot_dark_elves_assassins_collect_debt_success;ßY[From.GetTitledFirstName]ß! infiltrates the residence of ßY[Root.GetTitledFirstName]ß! and threatens [Root.GetHerHim] to pay [Root.GetHerHis] debt.;[From.Get_Le_TitledFirstNameJ] infiltre la r–πsidence [Root.Get_du_TitledFirstNameJ] et [Root.GetLeLa] menace afin qu'[Root.GetIlElle] rembourse sa dette.;ßY[From.GetTitledFirstName]ß! dringt in die Residenz von ßY[Root.GetTitledFirstName]ß! ein und zwingt [Root.GetHerHim], die Schulden zu begleichen.;;ßY[From.GetTitledFirstName]ß! se infiltra en la residencia de ßY[Root.GetTitledFirstName]ß! y lo/la amenaza para que pague la deuda.;;;;;;;;;x
dark_elves_assassins_raise_troops;Raise Army of [Root.Society.GetName];Lever une arm–πe d'Assassins;Assassinenarmee aufstellen;;Convocar ej–πrcito de asesinos;;;;;;;;;x
dark_elves_assassins_raise_troops_desc;As the Grandmaster of [Root.Society.GetName], you may call upon an army of fanatical followers while at war.;En tant que Grand Ma–ætre des Assassins, vous pouvez faire appel –∞ une arm–πe de partisans fanatiques lorsque vous –∫tes en guerre.;Als Gro–Ømeister der Assassinen k—Ünnt Ihr in Kriegszeiten eine Armee fanatischer Anh–¥nger aufstellen.;;Como gran maestre de los Asesinos puedes convocar a un ej–πrcito de seguidores fan–±ticos durante la guerra.;;;;;;;;;x
dark_elves_assassins_raise_ships;Hire Ships;Recruter des navires;Schiffe anheuern;;Alquilar barcos;;;;;;;;;x
dark_elves_assassins_raise_ships_desc;Since [Root.Society.GetName] have little time for naval matters, it is best to simply hire ships when needed.;–ôtant donn–π que les Assassins ont peu de temps pour les questions navales, il est pr–πf–πrable de recruter des navires simplement quand c'est n–πcessaire.;Da Assassinen wenig Zeit f—år seefahrerische Angelegenheiten haben, ist es am besten, wenn n—Ütig einfach Schiffe anzuheuern.;;Los Asesinos tienen poca experiencia con asuntos navales, por lo que te interesa alquilar barcos siempre que lo necesites.;;;;;;;;;x
scoiatael_local_autonomy;Give Local Autonomy;;;;;;;;;x
scoiatael_local_autonomy_desc;We can give this province cultural autonomy by negotiating with the local partisans leader.;;;;;;;;;x
invite_local_elf;Invite local Turtle;;;;;;;;;;x
invite_local_elf_female;Invite local Turtle woman;;;;;;;;;;x
invite_local_dark_elf;Invite local Dark Turtle;;;;;;;;;;x
invite_local_dark_elf_female;Invite local Dark Turtle woman;;;;;;;;;;x
invite_local_dwarf;Invite local Dwarf;;;;;;;;;;x
invite_local_dwarf_woman;Invite local Dwarf woman;;;;;;;;;;x
invite_local_dark_dwarf;Invite local Dark Dwarf;;;;;;;;;;x
invite_local_dark_dwarf_woman;Invite local Dark Dwarf woman;;;;;;;;;;x
invite_local_cat_boy;Invite local Cathrian;;;;;;;;;;x
invite_local_cat_girl;Invite local Cathrian woman;;;;;;;;;;x
select_dark_dwarven_school;Select Cult of Knowledge School;;;;;;;;;;x
select_dark_dwarven_school_desc;Select one of Three Philosophical Schools of Cult of Knowledge that guides our society.;;;;;;;;;;x
select_patron_saint_tribunal;Select Patron Saint;;;;;;;;;;x
select_patron_saint_tribunal_desc;Select one of the Saints of Triarchy as example to follow;;;;;;;;;;x
select_patron_deity_true_tribunal;Select Triarchy Patron Deity;;;;;;;;;;x
select_patron_deity_true_tribunal_desc;Select one of the Gods of Triarchy as a main object of worshipping;;;;;;;;;;x
select_patron_deity_tribunal;Select Triarchy Patron Deity;;;;;;;;;;x
select_patron_deity_tribunal_desc;Select one of the Gods of Triarchy as a main object of worshipping;;;;;;;;;;x
invite_minority_elf;Invite local diaspora Turtle;;;;;;;;;;x
invite_minority_elven_women;Invite local diaspora Elven Woman;;;;;;;;;;x
invite_minority_dark_elf;Invite local diaspora Dark Turtle;;;;;;;;;;x
invite_minority_dark_elven_women;Invite local diaspora Dark Elven Woman;;;;;;;;;;x
invite_minority_dwarf;Invite local diaspora Dwarf;;;;;;;;;;x
invite_minority_dwarven_women;Invite local diaspora Dwarven Woman;;;;;;;;;;x
invite_minority_dark_dwarf;Invite local diaspora Dark Dwarf;;;;;;;;;;x
invite_minority_dark_dwarven_women;Invite local diaspora Dark Dwarven Woman;;;;;;;;;;x
invite_minority_cat_folk;Invite local diaspora Cathrian;;;;;;;;;;x
invite_minority_cat_folk_women;Invite local diaspora Cathrian Woman;;;;;;;;;;x
invite_minority_orc;Invite local diaspora Orc;;;;;;;;;;x
invite_minority_orc_women;Invite local diaspora Orcish Woman;;;;;;;;;;x
elven_sympathy_decision;Study Another Faith;;;;;;;;;;x
elven_sympathy_decision_desc;Gain ßYSympathyß! for another religious group.;;;;;;;;;;x
ancestor_worship_dwarven;Worship the Ancestors;;;;;;;;;;;;;x
ancestor_worship_dwarven_desc;Make an offering to our Ancestors and ask them for help;;;;;;;;;;;;;x